id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
675401527282474312,Large+Lovely 1 Bedroom in Kearny with style,456721037,Ryan,,North,40.75612,-74.1602,Entire home/apt,130,1,3,2022-08-22,1.88,1,360,3,
633563537809804989,Entire Apartment/2bd 2bth/Office/NYC/EWR Airpt,446586646,Samuel,,North,40.77889,-74.18041,Entire home/apt,191,1,12,2022-09-16,2.95,1,166,12,
638594818665534363,#3 🌞 Bright 2BR2BT w/ KingBd near NYC & Am. Dream,276389083,Mabel,,North,40.76009,-74.15522,Entire home/apt,186,2,12,2022-09-18,3.16,8,75,12,
637902459703652633,#2 ♥️ Modern 3BR 2 BT+2🅿️ near NYC & AmericaDream,276389083,Mabel,,North,40.76293,-74.15778,Entire home/apt,221,2,10,2022-09-18,2.73,8,72,10,
627726610881158639,#1 🗽Massive 3BR 2BT+2🅿️ KingBd near NYC&Am.Dream,276389083,Mabel,,North,40.75958,-74.15636,Entire home/apt,282,2,10,2022-09-11,2.61,8,77,10,
51140414,Lovely apartment in Kearny,87111924,Cliff,,North,40.758633,-74.1513952,Entire home/apt,95,3,1,2022-09-10,1,1,336,1,
628400982648088919,🌟Amazing 3700sqft Family House Near NYC &Am.Dream,276389083,Mabel,,North,40.75969,-74.15653,Entire home/apt,985,2,6,2022-09-25,3.46,8,132,6,
597802215879139794,"Habitación luminosa, 25 min. New Yok",449594270,Rosario,,Central,40.74919,-74.15214,Private room,59,4,2,2022-09-03,1.25,1,72,2,
53501947,40% 3+ Months 1 Br | Up to 2 ppl | 18 min Airport,165938432,Bruno,,Central,40.75011,-74.16426,Private room,65,28,3,2022-07-01,0.3,2,362,3,
21552116,92 NJ/NY grant place 1,144658194,Jorge,,Central,40.7541,-74.15988,Private room,60,1,40,2021-12-21,0.68,2,1,2,
53829363,Modern and beautiful 1BR Apt. Unit 118,420605016,Mayra Loyola,,Central,40.75072,-74.16492,Entire home/apt,108,7,10,2022-08-11,1.23,4,304,10,
53860253,Brand New 1 Bedroom Apartment in Amenity Building,423884185,Urby Abode,,Central,40.74128,-74.15855,Entire home/apt,225,7,10,2022-09-18,1.72,6,357,10,
53501850,40% 3+ Months 1 Br | Up to 4 ppl | 18 min Airport,165938432,Bruno,,Central,40.74864,-74.16431,Private room,65,28,4,2022-08-20,0.4,2,348,4,
689886477146845270,Modern Alcove Studio with Courtyard Views,423884185,Urby Abode,,Central,40.74058,-74.15914,Entire home/apt,160,7,1,2022-09-24,1,6,162,1,
46757130,Luxury Cozy 1 bedroom Apt/mins to NYC/WIFI/Path,6958867,Henry,,Central,40.74179,-74.15888,Entire home/apt,149,1,37,2022-09-16,1.69,1,75,23,
659481884523712283,Lovely 1 luxury Bedroom with Pool.,466611227,Thomas,,Central,40.74627,-74.1644,Entire home/apt,221,1,7,2022-08-21,2.8,1,362,7,
46067234,St. George Harrison 2BR home - 206,420605016,Mayra Loyola,,Central,40.75031,-74.16505,Entire home/apt,109,7,22,2022-08-20,0.96,4,301,13,
54385185,Amazing 1 BR Apt Next to PATH - 22 Mins to NYC,63972398,Andre,,Central,40.74054,-74.15559,Entire home/apt,89,2,3,2022-08-22,0.63,1,64,3,
657845485316841831,"Adorable Vacation Unit, in Harrison NJ",466183907,DLS Investment Group,,Central,40.7490051,-74.1515787,Entire home/apt,83,1,7,2022-09-25,4.29,1,45,7,
718081182242179331,"Apartment in Harrison, NJ.",39125844,Robensky,,Central,40.74241,-74.16185,Entire home/apt,120,2,0,,,1,111,0,
48802474,Gorgeous and modern 2BR close to all - Apt 215,420605016,Mayra Loyola,,Central,40.74888,-74.16291,Entire home/apt,109,7,15,2022-09-06,0.99,4,309,12,
13865682,"Private 1 BR Basement Apt near PATH - Harrison, NJ",32231399,Pradeep,,Central,40.74448,-74.16126,Entire home/apt,75,4,37,2022-03-20,0.5,1,278,10,
53484233,2 bedroom 1 bath Convenient NYC Getaway w/Backyard,424172854,Gee,,Central,40.74303,-74.15686,Entire home/apt,151,3,39,2022-09-05,3.95,1,60,39,
52369202,Spacious 2-Bedroom with Private Patio + Workspace,423884185,Urby Abode,,Central,40.74119,-74.15918,Entire home/apt,280,7,3,2022-03-27,0.34,6,0,3,
37013965,Lar aconchegante e seguro,278276207,Paulete,,Central,40.7485,-74.16327,Entire home/apt,80,2,28,2022-08-05,0.74,1,152,3,
710897275329298054,[c] ROOM in Harrison by PATH Station to NYC,45830141,Marcia,,Central,40.74566,-74.15382,Private room,56,2,1,2022-09-18,1,2,51,1,
